p0,T,waitingTime,tauAlphaEst,tauBlock,tauAlpha,crossed,n,idx
3.815,0.01011368,2000.0,1000.0,1000.0,910.39574615814,1,4096,0
3.815,0.01011368,3000.0,1000.0,1000.0,895.0922820278271,1,4096,0
3.815,0.01011368,4000.0,1000.0,1000.0,738.7243800764898,1,4096,0
3.815,0.01011368,5000.0,1000.0,1000.0,920.128271583133,1,4096,0
3.815,0.01011368,6000.0,1000.0,1000.0,939.0065556554462,1,4096,0
3.815,0.01011368,7000.0,1000.0,1000.0,1008.53422194494,1,4096,0
3.815,0.01011368,8000.0,1000.0,1000.0,978.9603156199894,1,4096,0
3.815,0.01011368,9000.0,1000.0,1000.0,947.9103119322917,1,4096,0
3.815,0.10562311,0.0,10.0,1000.0,13.344521327369753,1,4096,0
3.815,0.10562311,10000.0,10.0,1000.0,14.250183382771057,1,4096,0
3.815,0.10562311,1000.0,10.0,1000.0,13.057460080814403,1,4096,0
3.815,0.10562311,11000.0,10.0,1000.0,14.265772208808714,1,4096,0
3.815,0.10562311,12000.0,10.0,1000.0,14.51264524378258,1,4096,0
3.815,0.10562311,13000.0,10.0,1000.0,13.756624234807388,1,4096,0
3.815,0.10562311,14000.0,10.0,1000.0,14.329864891870162,1,4096,0
3.815,0.10562311,2000.0,10.0,1000.0,13.204349286788661,1,4096,0
3.815,0.10562311,3000.0,10.0,1000.0,14.355367949229395,1,4096,0
3.815,0.10562311,4000.0,10.0,1000.0,14.135303887637804,1,4096,0
3.815,0.10562311,5000.0,10.0,1000.0,15.499885091499596,1,4096,0
3.815,0.10562311,6000.0,10.0,1000.0,14.17138722220502,1,4096,0
3.815,0.10562311,7000.0,10.0,1000.0,15.087134973046204,1,4096,0
3.815,0.10562311,8000.0,10.0,1000.0,12.99572243279708,1,4096,0
3.815,0.10562311,9000.0,10.0,1000.0,14.429424389627103,1,4096,0
3.825,0.00496885,0.0,10000.0,10000.0,5606.7392655677295,1,4096,0
3.825,0.00496885,100000.0,10000.0,10000.0,8944.548915446267,1,4096,0
3.825,0.00496885,10000.0,10000.0,10000.0,7537.265215499157,1,4096,0
3.825,0.00496885,110000.0,10000.0,10000.0,6886.696783576787,1,4096,0
3.825,0.00496885,120000.0,10000.0,10000.0,9455.788293315785,1,4096,0
3.825,0.00496885,130000.0,10000.0,10000.0,9748.752959682946,1,4096,0
3.825,0.00496885,140000.0,10000.0,10000.0,,0,4096,0
3.825,0.00496885,20000.0,10000.0,10000.0,7385.779524102823,1,4096,0
3.825,0.00496885,30000.0,10000.0,10000.0,7112.3121860520505,1,4096,0
3.825,0.00496885,40000.0,10000.0,10000.0,10785.729562054184,1,4096,0
3.825,0.00496885,50000.0,10000.0,10000.0,10700.50419350257,1,4096,0
3.825,0.00496885,60000.0,10000.0,10000.0,11216.692467004692,1,4096,0
3.825,0.00496885,70000.0,10000.0,10000.0,11453.173922320275,1,4096,0
3.825,0.00496885,80000.0,10000.0,10000.0,11609.704064814425,1,4096,0
3.825,0.00496885,90000.0,10000.0,10000.0,7829.822141881679,1,4096,0
3.825,0.0057681,0.0,4641.59,4641.59,2525.17870732851,1,4096,0
3.825,0.0057681,13925.0,4641.59,4641.59,3175.0368559912695,1,4096,0
3.825,0.0057681,18566.0,4641.59,4641.59,3175.1789231686857,1,4096,0
3.825,0.0057681,23208.0,4641.59,4641.59,2656.596287458534,1,4096,0
3.825,0.0057681,27850.0,4641.59,4641.59,2890.8363062776275,1,4096,0
3.825,0.0057681,32491.0,4641.59,4641.59,2922.3239721311083,1,4096,0
3.825,0.0057681,37133.0,4641.59,4641.59,3962.597492207175,1,4096,0
3.825,0.0057681,41774.0,4641.59,4641.59,3653.5128155873217,1,4096,0
3.825,0.0057681,46416.0,4641.59,4641.59,3769.8874820302544,1,4096,0
3.825,0.0057681,4642.0,4641.59,4641.59,2977.9945726677615,1,4096,0
3.825,0.0057681,51057.0,4641.59,4641.59,4866.786038263668,1,4096,0
3.825,0.0057681,55699.0,4641.59,4641.59,3866.366211245783,1,4096,0
3.825,0.0057681,60341.0,4641.59,4641.59,3103.395881619489,1,4096,0
3.825,0.0057681,64982.0,4641.59,4641.59,3261.2684163739227,1,4096,0
3.825,0.0057681,9283.0,4641.59,4641.59,3055.5897356269757,1,4096,0
3.825,0.00687376,0.0,2154.43,2154.43,1180.1137797260856,1,4096,0
3.825,0.00687376,10772.0,2154.43,2154.43,1787.8800120332073,1,4096,0
3.825,0.00687376,12927.0,2154.43,2154.43,1781.5332101923307,1,4096,0
