p0,T,t1,tauAlpha,tauAlphaEst,waitingTime,kept
3.815,0.11265956,0.0046,30.518584494897365,10.0,10000.0,1
3.815,0.00526263,0.0068,19079.85944581839,10000.0,100000.0,1
3.815,0.00652689,0.0068,6949.077185478854,4641.59,46416.0,1
3.815,0.00772835,0.0068,2754.787748111708,2154.43,21544.0,1
3.815,0.00940991,0.0068,1232.2496470538886,1000.0,10000.0,1
3.815,0.01295838,0.0068,616.3246299583286,464.159,10000.0,1
3.815,0.01802961,0.0068,279.1210015003196,215.443,10000.0,1
3.815,0.0281223,0.0068,140.0112390437825,100.0,10000.0,1
3.815,0.04555274,0.0068,68.23929756557015,46.4159,10000.0,1
3.815,0.07416724,0.0068,36.3684708623759,21.5443,10000.0,1
3.815,0.11265956,0.0068,18.308920682384063,10.0,10000.0,1
3.815,0.00526263,0.02,3794.5610859710473,10000.0,100000.0,1
3.815,0.00652689,0.02,3118.773070640667,4641.59,46416.0,1
